type,method,metric,score
randomly_wrong_70,scANVI,ASW_label,0.556944268
randomly_wrong_70,scANVI,ASW_label/batch,0.95478529
randomly_wrong_70,scANVI,graph_conn,1
randomly_wrong_70,scGEN,NMI_cluster/label,0.868474896
randomly_wrong_70,scGEN,ARI_cluster/label,0.831811618
randomly_wrong_70,scGEN,ASW_label,0.624398234
randomly_wrong_70,scGEN,ASW_label/batch,0.833099305
randomly_wrong_70,scGEN,graph_conn,0.999327505
randomly_wrong_70,STACAS,NMI_cluster/label,0.925721137
randomly_wrong_70,STACAS,ARI_cluster/label,0.952159762
randomly_wrong_70,STACAS,ASW_label,0.606837061
randomly_wrong_70,STACAS,ASW_label/batch,0.822313527
randomly_wrong_70,STACAS,graph_conn,0.99987464
randomly_wrong_70,scDREAMER,NMI_cluster/label,0.638110748
randomly_wrong_70,scDREAMER,ARI_cluster/label,0.386385245
randomly_wrong_70,scDREAMER,ASW_label,0.66875633
randomly_wrong_70,scDREAMER,ASW_label/batch,0.953855816
randomly_wrong_70,scDREAMER,graph_conn,0.999775835
randomly_wrong_70,ItClust,NMI_cluster/label,0.701482566
randomly_wrong_70,ItClust,ARI_cluster/label,0.574519166
randomly_wrong_70,ItClust,ASW_label,0.8442176
randomly_wrong_70,ItClust,ASW_label/batch,0.564267776
randomly_wrong_70,ItClust,graph_conn,0.99852965
randomly_wrong_30,scANVI,pos_rate,0.993735862
randomly_wrong_30,scGEN,pos_rate,0.992691839
randomly_wrong_30,STACAS,pos_rate,0.994779885
randomly_wrong_30,scDREAMER,pos_rate,0.996693927
randomly_wrong_30,ItClust,pos_rate,0.776405081
randomly_wrong_50,scANVI,pos_rate,0.991473812
randomly_wrong_50,scGEN,pos_rate,0.99408387
randomly_wrong_50,STACAS,pos_rate,0.995301897
randomly_wrong_50,scDREAMER,pos_rate,0.995997912
randomly_wrong_50,ItClust,pos_rate,0.554724204
randomly_wrong_70,scANVI,pos_rate,0.991995824
